"module name","licenses","repository","licenseUrl","parents"
"eslint-visitor-keys@3.4.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys","https://github.com/eslint/eslint-visitor-keys/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"eslint@8.39.0","MIT","https://github.com/eslint/eslint","https://github.com/eslint/eslint/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"espree@9.5.1","BSD-2-Clause","https://github.com/eslint/espree","https://github.com/eslint/espree/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"esquery@1.5.0","BSD-3-Clause","https://github.com/estools/esquery","https://github.com/estools/esquery/raw/master/license.txt","neighbourhood-calculator-js-excel-addin"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse","neighbourhood-calculator-js-excel-addin"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","neighbourhood-calculator-js-excel-addin"
"estree-walker@2.0.2","MIT","https://github.com/Rich-Harris/estree-walker","https://github.com/Rich-Harris/estree-walker/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils","https://github.com/estools/esutils/raw/master/LICENSE.BSD","neighbourhood-calculator-js-excel-addin"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify","https://github.com/epoberezkin/fast-json-stable-stringify/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein","https://github.com/hiddentao/fast-levenshtein/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"fastq@1.15.0","ISC","https://github.com/mcollina/fastq","https://github.com/mcollina/fastq/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"file-entry-cache@6.0.1","MIT","https://github.com/royriojas/file-entry-cache","https://github.com/royriojas/file-entry-cache/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"find-cache-dir@3.3.2","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","neighbourhood-calculator-js-excel-addin"
"find-up@4.1.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","pkg-dir:neighbourhood-calculator-js-excel-addin"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","neighbourhood-calculator-js-excel-addin"
"flat-cache@3.0.4","MIT","https://github.com/royriojas/flat-cache","https://github.com/royriojas/flat-cache/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"flatted@3.2.7","ISC","https://github.com/WebReflection/flatted","https://github.com/WebReflection/flatted/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"follow-redirects@1.15.2","MIT","https://github.com/follow-redirects/follow-redirects","https://github.com/follow-redirects/follow-redirects/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data","https://github.com/form-data/form-data/raw/master/License","neighbourhood-calculator-js-excel-addin"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath","https://github.com/isaacs/fs.realpath/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"fsevents@2.3.2","MIT","https://github.com/fsevents/fsevents","https://github.com/fsevents/fsevents/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent","https://github.com/gulpjs/glob-parent/raw/master/LICENSE","chokidar:neighbourhood-calculator-js-excel-addin"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent","https://github.com/gulpjs/glob-parent/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"globals@13.20.0","MIT","https://github.com/sindresorhus/globals","https://github.com/sindresorhus/globals/raw/master/license","neighbourhood-calculator-js-excel-addin"
